Name_of_App,Rating,Company,App_Detail_Web_Page_URL
Myselfland Emotional Self-Help,"4.1
star",LadoApps,https://play.google.com/store/apps/details?id=com.lado.myselfland
Finch: Self-Care Pet,"4.9
star",Finch Care Public Benefit Corporation,https://play.google.com/store/apps/details?id=com.finch.finch
CBT Tool,,Bizy Tech Limited,https://play.google.com/store/apps/details?id=com.dma.kdh.cbt
Yana: More Than Just an AI,"4.5
star",YANA APP S.A.P.I. de C.V.,https://play.google.com/store/apps/details?id=com.yanaapp
6000 thoughts | AI Life Coach,"4.1
star",6000thoughts,https://play.google.com/store/apps/details?id=com.slftok.sixthousandthoughts
CBT EXAMS 2025,"4.6
star",Justclickk,https://play.google.com/store/apps/details?id=com.justclickk.utmecbt.pro
CBT ONLINE,,Trainerize CBA-STUDIO 2,https://play.google.com/store/apps/details?id=com.trainerize.chocolateboxtraining
DBT Central,,Behavioural Health Central,https://play.google.com/store/apps/details?id=com.dbtcentral.dbtcentral
DBT Travel Guide,"3.9
star",Appec.nl,https://play.google.com/store/apps/details?id=com.dialexis.dgtcoach
DBT for Life,,DBT for Life,https://play.google.com/store/apps/details?id=com.dbtforlife.community
Impulse DBT,"3.9
star",Cogni app,https://play.google.com/store/apps/details?id=com.spotwish.impulse
Skills – Games to cope with st,"2.9
star",Vacay GmbH,https://play.google.com/store/apps/details?id=de.deuchelschueller.skills
Understanding Behavior BCBA,"5.0
star",Understanding Behavior,https://play.google.com/store/apps/details?id=com.understandingbehavior.school
Resilience eDBT,,Spark Digital Agency,https://play.google.com/store/apps/details?id=com.spark_digital.deakin_resilience
Jones Mindful Living DBT,"4.4
star","Jones Wellness, LLC",https://play.google.com/store/apps/details?id=com.jonesmindfulliving.app19450
Talkspace Therapy & Counseling,"4.6
star",Talkspace,https://play.google.com/store/apps/details?id=com.talkspace.talkspaceapp
DBT PAY,,Development Bank of Tajikistan,https://play.google.com/store/apps/details?id=tj.dbt.pay
AI Therapist & Therapy: Alya,"3.8
star",Ali Yapıcı,https://play.google.com/store/apps/details?id=com.aliyapici.AlyaTherapist
Coachbit: Life & Study Skills,"3.8
star","Coachbit, Inc.",https://play.google.com/store/apps/details?id=com.coachbit.mobile
Smart Skills,,SwipeGuide,https://play.google.com/store/apps/details?id=com.swipeguide.smartskills
dbt,,outsource.store,https://play.google.com/store/apps/details?id=com.dbtea
Advanced Language Therapy,"4.7
star
$74.99",Tactus Therapy Solutions Ltd.,https://play.google.com/store/apps/details?id=com.tactustherapy.advancedlanguagetherapy
"Calm - Sleep, Meditate, Relax","4.4
star","Calm.com, Inc.",https://play.google.com/store/apps/details?id=com.calm.android
Skillest: Sports Coaching,"4.6
star",Skillest Inc.,https://play.google.com/store/apps/details?id=com.ep.skillestandriod
Borderline Personality Tracker,,Cziko Apps,https://play.google.com/store/apps/details?id=com.czikoapps.borderline_personality_disorder_tracker
Mindfulness to go: life skills,,Achtsamkeit & Meer GmbH,https://play.google.com/store/apps/details?id=com.mindfulnesstogo.m2go
Elevate - Brain Training Games,"4.6
star",Elevate  Labs,https://play.google.com/store/apps/details?id=com.wonder
DBT,,WL Mobile,https://play.google.com/store/apps/details?id=dynamic.baseball.com
Skill Addicts - Play & Learn,"4.5
star",Skill Addicts,https://play.google.com/store/apps/details?id=com.skilladdicts.app
Skills System,,Julie F Brown,https://play.google.com/store/apps/details?id=com.skills.system
DBT Timer,"1.7
star",ABB Information Systems AG,https://play.google.com/store/apps/details?id=com.abb.dbt
Conversation Therapy,"5.0
star
$24.99",Tactus Therapy Solutions Ltd.,https://play.google.com/store/apps/details?id=com.tactustherapy.conversationtherapy
ChatGPT,"4.8
star",OpenAI,https://play.google.com/store/apps/details?id=com.openai.chatgpt
Micro-Skills,,now-here,https://play.google.com/store/apps/details?id=uk.co.createanet.microskills
PsychSurveys,"3.6
star",PsychSurveys LLC,https://play.google.com/store/apps/details?id=com.psychsurveys.psychsurveys
ADP Mobile Solutions,"4.6
star","ADP, INC.",https://play.google.com/store/apps/details?id=com.adpmobile.android
School of Traditional Skills,"5.0
star",School Of Traditional Skills,https://play.google.com/store/apps/details?id=com.schooloftraditionalskills.mobile
Pocket FM: Audio Series,"4.6
star",Pocket FM Corp.,https://play.google.com/store/apps/details?id=com.radio.pocketfm
Insight Timer - Meditation App,"4.7
star",Insight Network Inc,https://play.google.com/store/apps/details?id=com.spotlightsix.zentimerlite2
D&D Lords of Waterdeep,"3.8
star
$6.99","Playdek, Inc.",https://play.google.com/store/apps/details?id=com.playdekgames.waterdeep
Paytm: Secure UPI Payments,"4.7
star",Paytm - One97 Communications Ltd.,https://play.google.com/store/apps/details?id=net.one97.paytm
Afterpay: Pay over time,"4.1
star",Afterpay,https://play.google.com/store/apps/details?id=com.afterpaymobile.us
D&D Beyond,"4.6
star",Wizards of the Coast LLC,https://play.google.com/store/apps/details?id=com.fandom.playercompanion
Zomato: Food Delivery & Dining,"4.5
star",Zomato,https://play.google.com/store/apps/details?id=com.application.zomato
Inter - Send Money,"4.5
star",Banco Inter SA,https://play.google.com/store/apps/details?id=br.com.intermedium
DeepSeek - AI Assistant,"4.2
star",DeepSeek,https://play.google.com/store/apps/details?id=com.deepseek.chat
Octopus Electroverse,"4.1
star",Octopus Energy,https://play.google.com/store/apps/details?id=energy.octopus.electricjuice.android
Pocket Prep Behavioral Health,"4.6
star","Pocket Prep, Inc.",https://play.google.com/store/apps/details?id=com.pocketprep.android.behavioralhealth
Da Fit,"3.8
star",MO YOUNG LTD,https://play.google.com/store/apps/details?id=com.crrepa.band.dafit
Pdb App: Personality & Friends,"4.4
star",PDB Community,https://play.google.com/store/apps/details?id=pdb.app
Dott,"4.8
star",Dott,https://play.google.com/store/apps/details?id=com.ridedott.rider
"redBus Book Bus, Train Tickets","4.6
star","redBus - Bus, Ferry, Train, IRCTC Auth. Partner",https://play.google.com/store/apps/details?id=in.redbus.android
BeatO: Diabetes Care App,"4.4
star",BeatO,https://play.google.com/store/apps/details?id=com.healtharx.beato
Teladoc Health,"4.4
star","Teladoc, Inc.",https://play.google.com/store/apps/details?id=com.teladoc.members
Oak Diary: My Life Stories,"4.1
star",Oak Apps Studio,https://play.google.com/store/apps/details?id=com.card.carddiary
My Diary,"4.4
star",KreoSoft,https://play.google.com/store/apps/details?id=net.kreosoft.android.mydiary
DiaryVault: diary with backup,"4.2
star",DiaryVault,https://play.google.com/store/apps/details?id=me.sankethbk.dairyapp
My Daily Diary- Secret Journal,"4.2
star",Fun Coloring World,https://play.google.com/store/apps/details?id=diary.daily.moods.secret.diary.lock.tracker.free
"Weekly Planner - Diary, Notes","4.2
star",Digital Legal Tech S.R.L.,https://play.google.com/store/apps/details?id=com.weeklyplannerapp.weekplan
Diary & Journal with lock,"4.9
star",Dev Jeffrey,https://play.google.com/store/apps/details?id=com.zlq.diary.journal
My Diary - Daily Journal Lock,"4.6
star",Trusted PDF Tools,https://play.google.com/store/apps/details?id=com.daily.journal.private.diary.lock.notebook
"Daybook - Diary, Journal, Note","4.6
star",Daybook Labs Inc,https://play.google.com/store/apps/details?id=com.bigheadtechies.diary
Photo Diary: Journal with lock,"4.2
star",Simple diary & Notes app studio,https://play.google.com/store/apps/details?id=simple.diary
"DayDew - Daily Journal, Diary","3.6
star",Crimson Labs,https://play.google.com/store/apps/details?id=com.crimson.daydew
Betwixt—The Mental Health Game,"4.6
star",Mind Monsters Games Ltd.,https://play.google.com/store/apps/details?id=betwixt.web.app
"Journey: Diary, Journal","4.3
star",Two App Studio Pte. Ltd.,https://play.google.com/store/apps/details?id=com.journey.app
